	- Kommentare in der Titel-Leiste beachten - grün markiert = wird unbedingt benötigt - § ganz am Anfang = fertig - rot markiert = da fehlt was			alle nicht grün markierten Spalten beinhalten Rohdaten, die zum Markt verfügbar sind						
										
	Daten von Stadtmarketing Witten GmbH	http://www.stadtmarketing-witten.de/einkaufen/wochenmaerkte.html			Mitwirkende: Martin Schurig					
										
			Öffnungszeiten im OSM-Format	Nur ausfüllen, falls nicht in OTS-Format darstellbar!!! => Dafür opening_hours freilassen						
	title	location	opening_hours	opening_hours_unclassified	lat	lon	Stadtteil	Standort/Platz	Markttage / Zeiten	Hinweis
§	Rathausplatz	Rathausplatz	Tu, Th, Sa 08:00-14:00		51.4395685	7.335587	Innenstadt	Rathausplatz	dienstags, donnerstags und samstags von 8:00 bis 14:00 Uhr	
§	Marktplatz an der Stockumer Straße	Marktplatz an der Stockumer Straße	Fr 08:00-13:00		51.44866	7.37634	Annen	Marktplatz an der Stockumer Straße	freitags von 8:00 bis 13:00 Uhr	
§	Platz an der Schmiede	Platz an der Schmiede	Fr 08:00-13:00		51.4230696	7.2814519	Herbede	Platz an der Schmiede	freitags von 8:00 bis 13:00 Uhr	
§	Karl-Legien-Straße	Karl-Legien-Straße	We 09:00-14:00		51.41648	7.29056	Vormholz	Karl-Legien-Straße	mittwochs von 9:00 bis 14:00 Uhr	(Parkplatz vor Karl-Legien-Straße 5a)
§	Auf dem Schnee 1	Auf dem Schnee 1	We 09:00-14:00		51.42904	7.41427	Schnee	Auf dem Schnee 1	mittwochs von 9:00 bis 14:00 Uhr	
